Molecule,Atoms,Operation,BytesIO_Time_ms,BytesIO_Std_ms,Pickle_Time_ms,Pickle_Std_ms,Speedup_Factor
Small (Water),3,Write,0.07778129198413808,0.004341463967046867,0.014045249015907757,0.001159794388585901,0.18057361426667998
Small (Water),3,Sequential Read,0.008569541983888485,0.0005440683825370029,0.0056946660042740405,0.00040470361319676926,0.6645239634720885
Small (Water),3,Random Access,0.008597790016210638,0.0002133922548923367,0.00561970601847861,0.00012566134102045645,0.6536221526558543
Small (Ethanol),9,Write,0.07968191604595631,0.0016428862341423159,0.014823249992332421,0.0006667119562344764,0.18603029053396702
Small (Ethanol),9,Sequential Read,0.008682751999003813,0.00029525272593802505,0.005954792024567723,0.00023901719744003538,0.6858185083774047
Small (Ethanol),9,Random Access,0.009084832039661705,0.0006187773424319432,0.0060941240371903405,0.00028235405184939084,0.6708020589247206
Medium (Benzene),12,Write,0.08653624802536797,0.008564577984129705,0.015180793008767068,0.0012101312314673914,0.17542698412712374
Medium (Benzene),12,Sequential Read,0.00925462598388549,0.000742603761126953,0.006137251068139449,0.0002635152204045692,0.6631549539469089
Medium (Benzene),12,Random Access,0.008983791994978674,0.00045398022064397996,0.006091667019063607,0.00015677330740961824,0.678073025562973
Medium (Caffeine),24,Write,0.08581400102411862,0.001734206813396474,0.01597679199767299,0.0012048078575634907,0.1861793158109782
Medium (Caffeine),24,Sequential Read,0.009844874002737924,0.0006507536083346523,0.006679332975181751,0.00028571384386104717,0.6784579440350567
Medium (Caffeine),24,Random Access,0.00995879198308103,0.0004580756420209733,0.006712293004966341,0.00039274578068648937,0.6740067486468079
Large (Cholesterol),74,Write,0.11230816497118212,0.001482666216363088,0.023377538993372582,0.008502097311390334,0.20815529306681466
Large (Cholesterol),74,Sequential Read,0.012191041998448782,0.00043783772018919615,0.010398916972917505,0.0035613920065329053,0.8529965670072082
Large (Cholesterol),74,Random Access,0.012358751017018221,0.0005187182300579078,0.009104167998884805,0.00033247011242815134,0.7366576109793136
Large (Vitamin E),83,Write,0.12068175099557266,0.0015263010207851523,0.02020112398895435,0.0007447685123733168,0.16739170439858345
Large (Vitamin E),83,Sequential Read,0.012807209030142985,0.0003597314092071669,0.009833666976192037,0.0005986035066608234,0.7678227905117786
Large (Vitamin E),83,Random Access,0.0127079599769786,0.0004786744567260856,0.00951304098998662,0.0004979418211889859,0.7485891525642346
